Site,River,Elevation
B1GH,Ballston,riverbank
B1GL,Ballston,riverbank
B1UH,Ballston,upslope
B1UL,Ballston,upslope
B2GH,Ballston,riverbank
B2GL,Ballston,riverbank
B2UH,Ballston,upslope
B2UL,Ballston,upslope
I1GH,Indian,riverbank
I1GL,Indian,riverbank
I1UH,Indian,upslope
I1UL,Indian,upslope
I2GH,Indian,riverbank
I2GL,Indian,riverbank
I2UH,Indian,upslope
I2UL,Indian,upslope
K1GH,Kayaderosseras,riverbank
K1GL,Kayaderosseras,riverbank
K1UH,Kayaderosseras,upslope
K1UL,Kayaderosseras,upslope
K2GH,Kayaderosseras,riverbank
K2GL,Kayaderosseras,riverbank
K2UH,Kayaderosseras,upslope
K2UL,Kayaderosseras,upslope
